x,time,y
1,2000년 1월,56.2
2,2000년 2월,56.2
3,2000년 3월,57.4
4,2000년 4월,58.5
5,2000년 5월,59.3
6,2000년 6월,59.4
7,2000년 7월,59.7
8,2000년 8월,59
9,2000년 9월,59.4
10,2000년 10월,59.8
11,2000년 11월,59.3
12,2000년 12월,57.9
13,2001년 1월,56.3
14,2001년 2월,56.1
15,2001년 3월,57.4
16,2001년 4월,59.4
17,2001년 5월,60.1
18,2001년 6월,60.1
19,2001년 7월,60.1
20,2001년 8월,59.4
21,2001년 9월,60.1
22,2001년 10월,60.3
23,2001년 11월,60.2
24,2001년 12월,58.9
25,2002년 1월,58.1
26,2002년 2월,58.2
27,2002년 3월,59.1
28,2002년 4월,60.5
29,2002년 5월,60.9
30,2002년 6월,61
31,2002년 7월,61
32,2002년 8월,60.1
33,2002년 9월,60.8
34,2002년 10월,60.9
35,2002년 11월,60.5
36,2002년 12월,59.5
37,2003년 1월,58.1
38,2003년 2월,57.9
39,2003년 3월,58.7
40,2003년 4월,59.6
41,2003년 5월,60.1
42,2003년 6월,60.1
43,2003년 7월,60.2
44,2003년 8월,59.3
45,2003년 9월,59.7
46,2003년 10월,60.1
47,2003년 11월,60
48,2003년 12월,59
49,2004년 1월,58.6
50,2004년 2월,58.7
51,2004년 3월,59.7
52,2004년 4월,60.5
53,2004년 5월,60.6
54,2004년 6월,60.8
55,2004년 7월,60.6
56,2004년 8월,59.6
57,2004년 9월,60.6
58,2004년 10월,60.8
59,2004년 11월,60.5
60,2004년 12월,59.6
61,2005년 1월,58.4
62,2005년 2월,58.3
63,2005년 3월,59.4
64,2005년 4월,60.3
65,2005년 5월,60.8
66,2005년 6월,60.8
67,2005년 7월,60.6
68,2005년 8월,59.7
69,2005년 9월,60.2
70,2005년 10월,60.5
71,2005년 11월,60.5
72,2005년 12월,59.2
73,2006년 1월,58.5
74,2006년 2월,58.3
75,2006년 3월,59.4
76,2006년 4월,60.4
77,2006년 5월,60.9
78,2006년 6월,60.9
79,2006년 7월,60.7
80,2006년 8월,60
81,2006년 9월,60.4
82,2006년 10월,60.7
83,2006년 11월,60.6
84,2006년 12월,59.4
85,2007년 1월,58.7
86,2007년 2월,58.5
87,2007년 3월,59.6
88,2007년 4월,60.5
89,2007년 5월,61
90,2007년 6월,61.1
91,2007년 7월,60.9
92,2007년 8월,60.1
93,2007년 9월,60.5
94,2007년 10월,60.7
95,2007년 11월,60.7
96,2007년 12월,59.4
97,2008년 1월,58.6
98,2008년 2월,58.3
99,2008년 3월,59.3
100,2008년 4월,60.3
101,2008년 5월,60.8
102,2008년 6월,60.8
103,2008년 7월,60.6
104,2008년 8월,59.8
105,2008년 9월,60
106,2008년 10월,60.2
107,2008년 11월,60.1
108,2008년 12월,58.6
109,2009년 1월,57.5
110,2009년 2월,57.1
111,2009년 3월,58
112,2009년 4월,59
113,2009년 5월,59.4
114,2009년 6월,60
115,2009년 7월,59.5
116,2009년 8월,59
117,2009년 9월,59.4
118,2009년 10월,59.4
119,2009년 11월,59.2
120,2009년 12월,57.8
121,2010년 1월,56.8
122,2010년 2월,56.7
123,2010년 3월,57.9
124,2010년 4월,59.2
125,2010년 5월,60.1
126,2010년 6월,60
127,2010년 7월,60
128,2010년 8월,59.2
129,2010년 9월,59.3
130,2010년 10월,59.5
131,2010년 11월,59.3
132,2010년 12월,58.2
133,2011년 1월,57
134,2011년 2월,57.3
135,2011년 3월,58.5
136,2011년 4월,59.5
137,2011년 5월,60.4
138,2011년 6월,60.5
139,2011년 7월,60.2
140,2011년 8월,59.8
141,2011년 9월,59.3
142,2011년 10월,60.1
143,2011년 11월,59.9
144,2011년 12월,58.7
145,2012년 1월,57.7
146,2012년 2월,57.7
147,2012년 3월,58.9
148,2012년 4월,60
149,2012년 5월,60.8
150,2012년 6월,60.7
151,2012년 7월,60.6
152,2012년 8월,59.9
153,2012년 9월,60.2
154,2012년 10월,60.3
155,2012년 11월,59.9
156,2012년 12월,58.6
157,2013년 1월,57.7
158,2013년 2월,57.5
159,2013년 3월,58.7
160,2013년 4월,60
161,2013년 5월,60.6
162,2013년 6월,60.8
163,2013년 7월,60.7
164,2013년 8월,60.2
165,2013년 9월,60.6
166,2013년 10월,60.8
167,2013년 11월,60.7
168,2013년 12월,59.4
169,2014년 1월,58.8
170,2014년 2월,58.9
171,2014년 3월,59.7
172,2014년 4월,60.9
173,2014년 5월,61.1
174,2014년 6월,61.2
175,2014년 7월,61.4
176,2014년 8월,61.1
177,2014년 9월,61.1
178,2014년 10월,61.1
179,2014년 11월,61.1
180,2014년 12월,59.7
181,2015년 1월,59
182,2015년 2월,59.1
183,2015년 3월,59.8
184,2015년 4월,60.6
185,2015년 5월,61.2
186,2015년 6월,61.2
187,2015년 7월,61.3
188,2015년 8월,60.9
189,2015년 9월,61.1
190,2015년 10월,61.2
191,2015년 11월,61
192,2015년 12월,60.1
193,2016년 1월,59
194,2016년 2월,58.9
195,2016년 3월,59.7
196,2016년 4월,60.5
197,2016년 5월,61.1
198,2016년 6월,61.3
199,2016년 7월,61.3
200,2016년 8월,61.2
201,2016년 9월,61.1
202,2016년 10월,61.2
203,2016년 11월,61.2
204,2016년 12월,60.2
205,2017년 1월,59.1
206,2017년 2월,59.3
207,2017년 3월,60.3
208,2017년 4월,61
209,2017년 5월,61.5
210,2017년 6월,61.5
211,2017년 7월,61.6
212,2017년 8월,61.2
213,2017년 9월,61.4
214,2017년 10월,61.4
215,2017년 11월,61.4
216,2017년 12월,60.4
217,2018년 1월,59.5
218,2018년 2월,59.2
219,2018년 3월,60.2
220,2018년 4월,60.9
221,2018년 5월,61.3
222,2018년 6월,61.4
223,2018년 7월,61.3
224,2018년 8월,60.9
225,2018년 9월,61.2
226,2018년 10월,61.2
227,2018년 11월,61.4
228,2018년 12월,60.1
229,2019년 1월,59.2
230,2019년 2월,59.4
231,2019년 3월,60.4
232,2019년 4월,60.8
