항목명,코스피
12-Jan,"1,955.79"
12-Feb,"2,030.25"
12-Mar,"2,014.04"
12-Apr,"1,981.99"
12-May,"1,843.47"
12-Jun,"1,854.01"
12-Jul,"1,881.99"
12-Aug,"1,905.12"
12-Sep,"1,996.21"
12-Oct,"1,912.06"
12-Nov,"1,932.90"
12-Dec,"1,997.05"
13-Jan,"1,961.94"
13-Feb,"2,026.49"
13-Mar,"2,004.89"
13-Apr,"1,963.95"
13-May,"2,001.05"
13-Jun,"1,863.32"
13-Jul,"1,914.03"
13-Aug,"1,926.36"
13-Sep,"1,996.96"
13-Oct,"2,030.09"
13-Nov,"2,044.87"
13-Dec,"2,011.34"
14-Jan,"1,941.15"
14-Feb,"1,979.99"
14-Mar,"1,985.61"
14-Apr,"1,961.79"
14-May,"1,994.96"
14-Jun,"2,002.21"
14-Jul,"2,076.12"
14-Aug,"2,068.54"
14-Sep,"2,020.09"
14-Oct,"1,964.43"
14-Nov,"1,980.78"
14-Dec,"1,915.59"
15-Jan,"1,949.26"
15-Feb,"1,985.80"
15-Mar,"2,041.03"
15-Apr,"2,127.17"
15-May,"2,114.80"
15-Jun,"2,074.20"
15-Jul,"2,030.16"
15-Aug,"1,941.49"
15-Sep,"1,962.81"
15-Oct,"2,029.47"
15-Nov,"1,991.97"
15-Dec,"1,961.31"
16-Jan,"1,912.06"
16-Feb,"1,916.66"
16-Mar,"1,995.85"
16-Apr,"1,994.15"
16-May,"1,983.40"
16-Jun,"1,970.35"
16-Jul,"2,016.19"
16-Aug,"2,034.65"
16-Sep,"2,043.63"
16-Oct,"2,008.19"
16-Nov,"1,983.48"
16-Dec,"2,026.46"
17-Jan,"2,067.57"
17-Feb,"2,091.64"
17-Mar,"2,160.23"
17-Apr,"2,205.44"
17-May,"2,347.38"
17-Jun,"2,391.79"
17-Jul,"2,402.71"
17-Aug,"2,363.19"
17-Sep,"2,394.47"
17-Oct,"2,523.43"
17-Nov,"2,476.37"
17-Dec,"2,467.49"
18-Jan,"2,566.46"
18-Feb,"2,427.36"
18-Mar,"2,445.85"
18-Apr,"2,515.38"
18-May,"2,423.01"
18-Jun,"2,326.13"
18-Jul,"2,295.26"
18-Aug,"2,322.88"
18-Sep,"2,343.07"
18-Oct,"2,029.69"
18-Nov,"2,096.86"
18-Dec,"2,041.04"
19-Jan,"2,204.85"
